Category,SourceVersion,Source,CountryCode,CountryName,Year,NumberProducts,NumberCountries,NumberCommodities,ProductCode,ProductName,ProductionQuantity,PhysicalUnit,ReferencePriceAtFGL,ProducerPriceAtFGL,ValueProduction_PP,ValueProduction_REF,MonetaryUnit,NRP,NRP_SimpleAverage,DistortionValue,NOTES
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,AUS,Australia,2005,7,1,7,AnPr,Animal products,13625156089,INDEX,1,1,13625156089,13625156089,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,AUS,Australia,2005,5,1,5,GRN,Grains,5579952580,INDEX,1,1,5579952580,5579952580,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,AUS,Australia,2005,3,1,3,OS&Pr,Oilseeds and products,405110143.7,INDEX,1,1,405110143.7,405110143.7,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,AUS,Australia,2005,2,1,2,Other,Other,1543888699,INDEX,1,1,1543888699,1543888699,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BDI,Burundi,2005,1,1,1,F&V,Fruits and vegetables,62655025.52,INDEX,3.1108,1,62655025.52,194904521,USD,-67.8535,-67.85347759,-132249495.5,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BDI,Burundi,2005,2,1,2,GRN,Grains,65357222.24,INDEX,0.9321,1,65357222.24,60920259.86,USD,7.2832,9.66065228,4436962.383,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BDI,Burundi,2005,3,1,3,Other,Other,12741099.22,INDEX,0.8512,1,12741099.22,10845118.47,USD,17.4823,47.90822225,1895980.748,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BEN,Benin,2005,1,1,1,F&V,Fruits and vegetables,13141287.29,INDEX,1.8676,1,13141287.29,24542962.21,USD,-46.456,-46.45598532,-11401674.92,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BEN,Benin,2005,1,1,1,Other,Other,72371005.76,INDEX,0.4244,1,72371005.76,30711792.04,USD,135.6457,135.6456623,41659213.72,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BFA,Burkina Faso,2005,1,1,1,AnPr,Animal products,254221988.2,INDEX,1.5821,1,254221988.2,402214622.4,USD,-36.7944,-36.79444404,-147992634.2,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BFA,Burkina Faso,2005,1,1,1,F&V,Fruits and vegetables,3248727.005,INDEX,3.0174,1,3248727.005,9802559.966,USD,-66.8584,-66.85838172,-6553832.961,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BFA,Burkina Faso,2005,3,1,3,GRN,Grains,584907901.7,INDEX,0.6377,1,584907901.7,372973569.1,USD,56.8229,111.288309,211934332.7,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BFA,Burkina Faso,2005,2,1,2,OS&Pr,Oilseeds and products,69672397.57,INDEX,0.9162,1,69672397.57,63834880.56,USD,9.1447,18.08374052,5837517.014,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BFA,Burkina Faso,2005,1,1,1,Other,Other,236457360.9,INDEX,0.6161,1,236457360.9,145671051,USD,62.3228,62.32282202,90786309.87,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BRA,Brazil,2005,4,1,4,AnPr,Animal products,28779402092,INDEX,1,1,28779402092,28779402092,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BRA,Brazil,2005,3,1,3,GRN,Grains,8532944747,INDEX,0.7685,1,8532944747,6557946672,USD,30.1161,31.11929403,1974998075,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BRA,Brazil,2005,1,1,1,OS&Pr,Oilseeds and products,10175010011,INDEX,1,1,10175010011,10175010011,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,BRA,Brazil,2005,3,1,3,Other,Other,10358227319,INDEX,1,1,10358227319,10358227319,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CAN,Canada,2005,5,1,5,AnPr,Animal products,13570490466,INDEX,0.8384,1,13570490466,11377274873,USD,19.2772,28.96439285,2193215593,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CAN,Canada,2005,4,1,4,F&V,Fruits and vegetables,1441000152,INDEX,1,1,1441000152,1441000152,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CAN,Canada,2005,4,1,4,GRN,Grains,4508932044,INDEX,1,1,4508932044,4508932044,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CAN,Canada,2005,2,1,2,OS&Pr,Oilseeds and products,2630606366,INDEX,1,1,2630606366,2630606366,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CAN,Canada,2005,1,1,1,Other,Other,225636714.3,INDEX,1,1,225636714.3,225636714.3,USD,0,0,0,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CHE,Switzerland,2005,6,1,6,AnPr,Animal products,3500897538,INDEX,0.4742,1,3500897538,1660083881,USD,110.8868,197.6090081,1840813657,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CHE,Switzerland,2005,3,1,3,GRN,Grains,358515265.5,INDEX,0.6147,1,358515265.5,220365353.9,USD,62.6913,73.70015986,138149911.6,[9]
COUNTRY_GROUP,Ag-Incentives Consortium (October 2018),Ag-Incentives Consortium,CHE,Switzerland,2005,1,1,1,OS&Pr,Oilseeds and products,59841152.14,INDEX,0.256,1,59841152.14,15322300,USD,290.5494,290.5494093,44518852.14,[9]
