"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRSUPP","TSE","PC_GDP","A","1986",0.839322016,
"AUS","AGRSUPP","TSE","PC_GDP","A","1987",0.618785432,
"AUS","AGRSUPP","TSE","PC_GDP","A","1988",0.629380479,
"AUS","AGRSUPP","TSE","PC_GDP","A","1989",0.562867009,
"AUS","AGRSUPP","TSE","PC_GDP","A","1990",0.53733012,
"AUS","AGRSUPP","TSE","PC_GDP","A","1991",0.508110652,
"AUS","AGRSUPP","TSE","PC_GDP","A","1992",0.577017731,
"AUS","AGRSUPP","TSE","PC_GDP","A","1993",0.550787431,
"AUS","AGRSUPP","TSE","PC_GDP","A","1994",0.505683173,
"AUS","AGRSUPP","TSE","PC_GDP","A","1995",0.459632273,
"AUS","AGRSUPP","TSE","PC_GDP","A","1996",0.430787152,
"AUS","AGRSUPP","TSE","PC_GDP","A","1997",0.353678712,
"AUS","AGRSUPP","TSE","PC_GDP","A","1998",0.341079377,
"AUS","AGRSUPP","TSE","PC_GDP","A","1999",0.277374952,
"AUS","AGRSUPP","TSE","PC_GDP","A","2000",0.224537151,
"AUS","AGRSUPP","TSE","PC_GDP","A","2001",0.242921615,
"AUS","AGRSUPP","TSE","PC_GDP","A","2002",0.271988402,
"AUS","AGRSUPP","TSE","PC_GDP","A","2003",0.248337663,
"AUS","AGRSUPP","TSE","PC_GDP","A","2004",0.231278683,
"AUS","AGRSUPP","TSE","PC_GDP","A","2005",0.241091028,
"AUS","AGRSUPP","TSE","PC_GDP","A","2006",0.249798967,
"AUS","AGRSUPP","TSE","PC_GDP","A","2007",0.264409063,
"AUS","AGRSUPP","TSE","PC_GDP","A","2008",0.223295123,
"AUS","AGRSUPP","TSE","PC_GDP","A","2009",0.162350482,
"AUS","AGRSUPP","TSE","PC_GDP","A","2010",0.177298212,
"AUS","AGRSUPP","TSE","PC_GDP","A","2011",0.188527793,
"AUS","AGRSUPP","TSE","PC_GDP","A","2012",0.152374101,
"AUS","AGRSUPP","TSE","PC_GDP","A","2013",0.158543709,
"AUS","AGRSUPP","TSE","PC_GDP","A","2014",0.160328024,
"AUS","AGRSUPP","TSE","PC_GDP","A","2015",0.14494771,
"AUS","AGRSUPP","TSE","PC_GDP","A","2016",0.157582202,
"AUS","AGRSUPP","TSE","PC_GDP","A","2017",0.17294084,
"AUS","AGRSUPP","TSE","PC_GDP","A","2018",0.162287614,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1986",12.88095071,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1987",9.110663847,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1988",9.330442382,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1989",8.644095367,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1990",9.356815759,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1991",8.764572643,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1992",9.853038726,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1993",9.13372952,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1994",8.958941261,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1995",6.445534033,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1996",6.330651534,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1997",4.591500027,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1998",4.918313961,
"AUS","AGRSUPP","PSE","PC_GFARM","A","1999",3.872151612,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2000",3.296088293,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2001",3.280272511,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2002",4.739716243,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2003",3.691925535,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2004",3.408488961,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2005",3.653738309,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2006",4.446648936,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2007",4.863708484,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2008",4.455942689,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2009",3.129968167,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2010",2.973105752,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2011",3.19591459,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2012",2.030092208,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2013",2.233656964,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2014",1.899502211,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2015",1.80155953,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2016",1.701989981,
"AUS","AGRSUPP","PSE","PC_GFARM","A","2017",2.354173201,
