"INDIC_EF","AGRAREA","GEO","FARMTYPE","TIME","Value"
"Euro: Standard output (SO)","Total","Belgium","Total","2005","6,785,150,200"
"Euro: Standard output (SO)","Total","Belgium","Total","2007","6,638,349,610"
"Euro: Standard output (SO)","Total","Belgium","Total","2010","7,247,768,310"
"Euro: Standard output (SO)","Total","Belgium","Total","2013","8,406,674,190"
"Euro: Standard output (SO)","Total","Bulgaria","Total","2005","2,321,280,990"
"Euro: Standard output (SO)","Total","Bulgaria","Total","2007","2,314,429,630"
"Euro: Standard output (SO)","Total","Bulgaria","Total","2010","2,536,665,610"
"Euro: Standard output (SO)","Total","Bulgaria","Total","2013","3,335,670,170"
"Euro: Standard output (SO)","Total","Czechia","Total","2005","3,653,112,400"
"Euro: Standard output (SO)","Total","Czechia","Total","2007","3,593,197,480"
"Euro: Standard output (SO)","Total","Czechia","Total","2010","3,852,209,740"
"Euro: Standard output (SO)","Total","Czechia","Total","2013","4,446,963,820"
"Euro: Standard output (SO)","Total","Denmark","Total","2005","6,943,327,360"
"Euro: Standard output (SO)","Total","Denmark","Total","2007","6,917,735,410"
"Euro: Standard output (SO)","Total","Denmark","Total","2010","8,430,808,830"
"Euro: Standard output (SO)","Total","Denmark","Total","2013","9,580,213,710"
"Euro: Standard output (SO)","Total","Germany (until 1990 former territory of the FRG)","Total","2005","44,408,435,780"
"Euro: Standard output (SO)","Total","Germany (until 1990 former territory of the FRG)","Total","2007","44,202,077,100"
"Euro: Standard output (SO)","Total","Germany (until 1990 former territory of the FRG)","Total","2010","41,494,097,650"
"Euro: Standard output (SO)","Total","Germany (until 1990 former territory of the FRG)","Total","2013","46,252,042,690"
"Euro: Standard output (SO)","Total","Estonia","Total","2005","482,657,250"
"Euro: Standard output (SO)","Total","Estonia","Total","2007","491,336,950"
"Euro: Standard output (SO)","Total","Estonia","Total","2010","594,584,270"
"Euro: Standard output (SO)","Total","Estonia","Total","2013","676,317,090"
"Euro: Standard output (SO)","Total","Ireland","Total","2005","4,759,231,100"
"Euro: Standard output (SO)","Total","Ireland","Total","2007","4,570,426,200"
"Euro: Standard output (SO)","Total","Ireland","Total","2010","4,297,715,740"
"Euro: Standard output (SO)","Total","Ireland","Total","2013","5,012,538,820"
"Euro: Standard output (SO)","Total","Greece","Total","2005","7,420,721,710"
"Euro: Standard output (SO)","Total","Greece","Total","2007","7,676,847,850"
"Euro: Standard output (SO)","Total","Greece","Total","2010","6,872,835,240"
"Euro: Standard output (SO)","Total","Greece","Total","2013","8,103,007,120"
"Euro: Standard output (SO)","Total","Spain","Total","2005","33,625,081,990"
"Euro: Standard output (SO)","Total","Spain","Total","2007","33,362,703,070"
"Euro: Standard output (SO)","Total","Spain","Total","2010","34,173,074,930"
"Euro: Standard output (SO)","Total","Spain","Total","2013","35,978,946,920"
"Euro: Standard output (SO)","Total","France","Total","2005","46,527,554,360"
"Euro: Standard output (SO)","Total","France","Total","2007","45,977,876,430"
"Euro: Standard output (SO)","Total","France","Total","2010","50,733,216,720"
"Euro: Standard output (SO)","Total","France","Total","2013","56,914,191,760"
"Euro: Standard output (SO)","Total","Croatia","Total","2005",":"
"Euro: Standard output (SO)","Total","Croatia","Total","2007","1,372,655,180"
"Euro: Standard output (SO)","Total","Croatia","Total","2010","2,114,664,740"
"Euro: Standard output (SO)","Total","Croatia","Total","2013","2,029,135,280"
"Euro: Standard output (SO)","Total","Italy","Total","2005","40,328,283,810"
"Euro: Standard output (SO)","Total","Italy","Total","2007","40,543,154,290"
"Euro: Standard output (SO)","Total","Italy","Total","2010","49,460,329,710"
"Euro: Standard output (SO)","Total","Italy","Total","2013","43,793,881,650"
"Euro: Standard output (SO)","Total","Cyprus","Total","2005","612,198,120"
"Euro: Standard output (SO)","Total","Cyprus","Total","2007","603,718,530"
"Euro: Standard output (SO)","Total","Cyprus","Total","2010","458,888,500"
"Euro: Standard output (SO)","Total","Cyprus","Total","2013","495,411,360"
"Euro: Standard output (SO)","Total","Latvia","Total","2005","584,947,820"
"Euro: Standard output (SO)","Total","Latvia","Total","2007","597,292,520"
