Year,Authors,Title,Country,Industry/Market,Approach,Period,Data Frequency,Type of MP,Market Power Index,,
2008,"Anders, S. M",Imperfect Competition in German Food Retailing: Evidence from State Level Data.,Germany,Beef,GIM,1995-2000,Monthly,Oligopsony,0.176,,
,,,Germany,Beef,GIM,1995-2000,Monthly,Oligopoly,0.089,,
,,,Germany,Pork,GIM,1995-2000,Monthly,Oligopsony,0.011,,
,,,Germany,Pork,GIM,1995-2000,Monthly,Oligopoly,0.003,,
1982,"Appelbaum, E.",The estimation of the degree of oligopoly power.,USA,Textile,PTA, 1947–1971,Yearly,Oligopoly,0.03684,,
,,,USA,Tobacco ,PTA, 1947–1971,Yearly,Oligopoly,0.4019,,
1997,"Azzam, A. M.",Measuring Market Power and Cost-efficiency Effects of Industrial Concentration,USA,Beef Packing,PTA,1970-1992,Yearly,Conjectural variation,-0.799,,
1990,"Azzam, A. M., & Pagoulatos, E. ",TESTING OLIGOPOLISTIC AND OLIGOPSONISTIC BEHAVIOUR: AN APPLICATION TO THE US MEAT-PACKING INDUSTRY.,USA,Meat,PTA,1959-1982,Yearly,Oligopoly,0.223,,
,,,USA,Livestock,PTA,1959-1982,Yearly,Oligopsony,0.178,,
2009,"Bakucs, Z.L., Ferto, I., Hockmann, H. and Perekhozhuk, O",Market power on the edge? An analysis of the German and Hungarian hog markets,Germany,Hogs,PTA,1993-2003,Monthly,Oligopsony,0.0724,,
,,,Hungary,Hogs,PTA,1995-2004,Monthly,Oligopsony,0.0284,,
1995,"Bergman, M.A. and Brannlund, R.",Measuring oligopsony power. An application to the Swedish pulp and paper industry.,Sweden,Pulp and Paper,PTA,1960-1988,Yearly,Oligopsony,0.22,?,"Two types of MP estimation dont know which to use;
Both of which seems to be not significatnly different from 0"
2000,"Bettendorf, L.",Incomplete transmission of coffee bean prices: evidence from The Netherlands,Netherlands,Coffee,GIM,1992-1996,Monthly,Oligopoly,0.107,?,"3 Types of MP, I use linear here, since it is the most statictically significant, as I understand"
1997,"Bhuyan, S., & Lopez, R. A.",Oligopoly Power in the Food and Tobacco Industries. ,USA,Food,PTA,1972-1987,Yearly,Oligopoly,0.18,,
,,,USA,Tobacco ,PTA,1972-1987,Yearly,Oligopoly,0.211,,
,,,USA,Food & Tobacco,PTA,1972-1987,Yearly,Oligopoly,0.183,,
1998,"Bhuyan, S., & Lopez, R. A.",Oligopoly Power and Allocative Efficiency in US Food and Tobacco Industries. ,USA,Cereal breakfast ,PTA,1972-1987,Yearly,Oligopoly,0.55,,
,,,USA,Pet Food,PTA,1972-1987,Yearly,Oligopoly,0.014,,
,,,USA,Meat Packing,PTA,1972-1987,Yearly,Oligopoly,0.219,,
,,,USA,Paultry & Eggs,PTA,1972-1987,Yearly,Oligopoly,0.289,,
,,,USA,Cheese,PTA,1972-1987,Yearly,Oligopoly,0.128,,
,,,USA,Cond. Milk,PTA,1972-1987,Yearly,Oligopoly,0.192,,
