"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRPNPC","TOT","RT","A","1986",1.11198568,
"AUS","AGRPNPC","TOT","RT","A","1987",1.067420821,
"AUS","AGRPNPC","TOT","RT","A","1988",1.077049405,
"AUS","AGRPNPC","TOT","RT","A","1989",1.071516691,
"AUS","AGRPNPC","TOT","RT","A","1990",1.084205852,
"AUS","AGRPNPC","TOT","RT","A","1991",1.071068622,
"AUS","AGRPNPC","TOT","RT","A","1992",1.076693043,
"AUS","AGRPNPC","TOT","RT","A","1993",1.070676785,
"AUS","AGRPNPC","TOT","RT","A","1994",1.066380834,
"AUS","AGRPNPC","TOT","RT","A","1995",1.031246039,
"AUS","AGRPNPC","TOT","RT","A","1996",1.030705692,
"AUS","AGRPNPC","TOT","RT","A","1997",1.029045779,
"AUS","AGRPNPC","TOT","RT","A","1998",1.032681197,
"AUS","AGRPNPC","TOT","RT","A","1999",1.021132475,
"AUS","AGRPNPC","TOT","RT","A","2000",1,
"AUS","AGRPNPC","TOT","RT","A","2001",1,
"AUS","AGRPNPC","TOT","RT","A","2002",1,
"AUS","AGRPNPC","TOT","RT","A","2003",1,
"AUS","AGRPNPC","TOT","RT","A","2004",1,
"AUS","AGRPNPC","TOT","RT","A","2005",1,
"AUS","AGRPNPC","TOT","RT","A","2006",1,
"AUS","AGRPNPC","TOT","RT","A","2007",1,
"AUS","AGRPNPC","TOT","RT","A","2008",1,
"AUS","AGRPNPC","TOT","RT","A","2009",1,
"AUS","AGRPNPC","TOT","RT","A","2010",1,
"AUS","AGRPNPC","TOT","RT","A","2011",1,
"AUS","AGRPNPC","TOT","RT","A","2012",1,
"AUS","AGRPNPC","TOT","RT","A","2013",1.00000022,
"AUS","AGRPNPC","TOT","RT","A","2014",1,
"AUS","AGRPNPC","TOT","RT","A","2015",1,
"AUS","AGRPNPC","TOT","RT","A","2016",1,
"AUS","AGRPNPC","TOT","RT","A","2017",1,
"AUS","AGRPNPC","TOT","RT","A","2018",1,
"CAN","AGRPNPC","TOT","RT","A","1986",1.405767752,
"CAN","AGRPNPC","TOT","RT","A","1987",1.45400429,
"CAN","AGRPNPC","TOT","RT","A","1988",1.302312647,
"CAN","AGRPNPC","TOT","RT","A","1989",1.263102743,
"CAN","AGRPNPC","TOT","RT","A","1990",1.353275045,
"CAN","AGRPNPC","TOT","RT","A","1991",1.336389188,
"CAN","AGRPNPC","TOT","RT","A","1992",1.275418578,
"CAN","AGRPNPC","TOT","RT","A","1993",1.233700782,
"CAN","AGRPNPC","TOT","RT","A","1994",1.190312898,
"CAN","AGRPNPC","TOT","RT","A","1995",1.113253903,
"CAN","AGRPNPC","TOT","RT","A","1996",1.091709333,
"CAN","AGRPNPC","TOT","RT","A","1997",1.103797595,
"CAN","AGRPNPC","TOT","RT","A","1998",1.115132844,
"CAN","AGRPNPC","TOT","RT","A","1999",1.11554025,
"CAN","AGRPNPC","TOT","RT","A","2000",1.123169434,
"CAN","AGRPNPC","TOT","RT","A","2001",1.077258502,
"CAN","AGRPNPC","TOT","RT","A","2002",1.117676902,
"CAN","AGRPNPC","TOT","RT","A","2003",1.147246299,
"CAN","AGRPNPC","TOT","RT","A","2004",1.106284642,
"CAN","AGRPNPC","TOT","RT","A","2005",1.115301368,
"CAN","AGRPNPC","TOT","RT","A","2006",1.145455911,
"CAN","AGRPNPC","TOT","RT","A","2007",1.087131037,
"CAN","AGRPNPC","TOT","RT","A","2008",1.070360084,
"CAN","AGRPNPC","TOT","RT","A","2009",1.117888197,
"CAN","AGRPNPC","TOT","RT","A","2010",1.115446477,
"CAN","AGRPNPC","TOT","RT","A","2011",1.098946461,
"CAN","AGRPNPC","TOT","RT","A","2012",1.099286275,
"CAN","AGRPNPC","TOT","RT","A","2013",1.07591867,
"CAN","AGRPNPC","TOT","RT","A","2014",1.057544244,
"CAN","AGRPNPC","TOT","RT","A","2015",1.05901332,
"CAN","AGRPNPC","TOT","RT","A","2016",1.071430396,
"CAN","AGRPNPC","TOT","RT","A","2017",1.060277669,
"CAN","AGRPNPC","TOT","RT","A","2018",1.052355187,
"ISL","AGRPNPC","TOT","RT","A","1986",3.947821317,
"ISL","AGRPNPC","TOT","RT","A","1987",4.920821164,
"ISL","AGRPNPC","TOT","RT","A","1988",3.779198689,
"ISL","AGRPNPC","TOT","RT","A","1989",3.257056872,
"ISL","AGRPNPC","TOT","RT","A","1990",3.431778175,
"ISL","AGRPNPC","TOT","RT","A","1991",4.249815034,
"ISL","AGRPNPC","TOT","RT","A","1992",3.41780259,
"ISL","AGRPNPC","TOT","RT","A","1993",3.012789659,
"ISL","AGRPNPC","TOT","RT","A","1994",2.534601164,
"ISL","AGRPNPC","TOT","RT","A","1995",2.248703167,
"ISL","AGRPNPC","TOT","RT","A","1996",2.263728218,
"ISL","AGRPNPC","TOT","RT","A","1997",2.282659566,
"ISL","AGRPNPC","TOT","RT","A","1998",2.882556301,
"ISL","AGRPNPC","TOT","RT","A","1999",2.867713475,
"ISL","AGRPNPC","TOT","RT","A","2000",2.63690255,
"ISL","AGRPNPC","TOT","RT","A","2001",2.186293937,
"ISL","AGRPNPC","TOT","RT","A","2002",2.538079441,
"ISL","AGRPNPC","TOT","RT","A","2003",2.428883833,
"ISL","AGRPNPC","TOT","RT","A","2004",2.593174508,
