"SECT","Sectorial indicators","LOCATION","Country","TIME","Year","Value","Flag Codes","Flags"
"RETAIL","Retail Distribution","AUS","Australia","2018","2018",0.47058824,,
"RETAIL","Retail Distribution","AUT","Austria","2018","2018",2.0117648,,
"RETAIL","Retail Distribution","BEL","Belgium","2018","2018",2.5226891,,
"RETAIL","Retail Distribution","CAN","Canada","2018","2018",1.8375,,
"RETAIL","Retail Distribution","CZE","Czech Republic","2018","2018",1.2352941,,
"RETAIL","Retail Distribution","DNK","Denmark","2018","2018",1.0084034,,
"RETAIL","Retail Distribution","FIN","Finland","2018","2018",1.6470588,,
"RETAIL","Retail Distribution","FRA","France","2018","2018",2.0033615,,
"RETAIL","Retail Distribution","DEU","Germany","2018","2018",0.48124999,,
"RETAIL","Retail Distribution","GRC","Greece","2018","2018",2.5361345,,
"RETAIL","Retail Distribution","HUN","Hungary","2018","2018",1.1176471,,
"RETAIL","Retail Distribution","ISL","Iceland","2018","2018",1.6588235,,
"RETAIL","Retail Distribution","IRL","Ireland","2018","2018",0.94117647,,
"RETAIL","Retail Distribution","ITA","Italy","2018","2018",2.7857144,,
"RETAIL","Retail Distribution","JPN","Japan","2018","2018",0.94117647,,
"RETAIL","Retail Distribution","KOR","Korea","2018","2018",1.2470589,,
"RETAIL","Retail Distribution","LUX","Luxembourg","2018","2018",1.7053571,,
"RETAIL","Retail Distribution","MEX","Mexico","2018","2018",1.4117647,,
"RETAIL","Retail Distribution","NLD","Netherlands","2018","2018",0.97478992,,
"RETAIL","Retail Distribution","NZL","New Zealand","2018","2018",0.7647059,,
"RETAIL","Retail Distribution","NOR","Norway","2018","2018",0.125,,
"RETAIL","Retail Distribution","POL","Poland","2018","2018",1.302521,,
"RETAIL","Retail Distribution","PRT","Portugal","2018","2018",2.5529411,,
"RETAIL","Retail Distribution","SVK","Slovak Republic","2018","2018",1.5420169,,
"RETAIL","Retail Distribution","ESP","Spain","2018","2018",1.6705883,,
"RETAIL","Retail Distribution","SWE","Sweden","2018","2018",0.52941179,,
"RETAIL","Retail Distribution","CHE","Switzerland","2018","2018",0.68067229,,
"RETAIL","Retail Distribution","TUR","Turkey","2018","2018",1.9058824,,
"RETAIL","Retail Distribution","GBR","United Kingdom","2018","2018",0.025210084,,
"RETAIL","Retail Distribution","ARG","Argentina","2018","2018",2.8529413,,
"RETAIL","Retail Distribution","BRA","Brazil","2018","2018",1,,
"RETAIL","Retail Distribution","CHL","Chile","2018","2018",0.11764706,,
"RETAIL","Retail Distribution","ISR","Israel","2018","2018",0.5529412,,
"RETAIL","Retail Distribution","LVA","Latvia","2018","2018",1.2941177,,
"RETAIL","Retail Distribution","LTU","Lithuania","2018","2018",0.91176468,,
"RETAIL","Retail Distribution","SVN","Slovenia","2018","2018",1.1470588,,
"RETAIL","Retail Distribution","ZAF","South Africa","2018","2018",2.5529411,,
"MEDICINES","Retail Sales of Medicines","AUS","Australia","2018","2018",3.875,,
"MEDICINES","Retail Sales of Medicines","AUT","Austria","2018","2018",4,,
"MEDICINES","Retail Sales of Medicines","BEL","Belgium","2018","2018",3.75,,
"MEDICINES","Retail Sales of Medicines","CAN","Canada","2018","2018",1.5,,
"MEDICINES","Retail Sales of Medicines","CZE","Czech Republic","2018","2018",0.5,,
"MEDICINES","Retail Sales of Medicines","DNK","Denmark","2018","2018",1.25,,
"MEDICINES","Retail Sales of Medicines","FIN","Finland","2018","2018",3.75,,
"MEDICINES","Retail Sales of Medicines","FRA","France","2018","2018",4.25,,
"MEDICINES","Retail Sales of Medicines","DEU","Germany","2018","2018",2.5,,
"MEDICINES","Retail Sales of Medicines","GRC","Greece","2018","2018",3.5,,
"MEDICINES","Retail Sales of Medicines","HUN","Hungary","2018","2018",2.375,,
"MEDICINES","Retail Sales of Medicines","ISL","Iceland","2018","2018",0.75,,
"MEDICINES","Retail Sales of Medicines","IRL","Ireland","2018","2018",1.375,,
"MEDICINES","Retail Sales of Medicines","ITA","Italy","2018","2018",2.5714285,,
"MEDICINES","Retail Sales of Medicines","JPN","Japan","2018","2018",1,,
"MEDICINES","Retail Sales of Medicines","KOR","Korea","2018","2018",3.75,,
"MEDICINES","Retail Sales of Medicines","LUX","Luxembourg","2018","2018",5.4285712,,
"MEDICINES","Retail Sales of Medicines","MEX","Mexico","2018","2018",0.25,,
"MEDICINES","Retail Sales of Medicines","NLD","Netherlands","2018","2018",0.375,,
"MEDICINES","Retail Sales of Medicines","NZL","New Zealand","2018","2018",1.375,,
"MEDICINES","Retail Sales of Medicines","NOR","Norway","2018","2018",0,,
"MEDICINES","Retail Sales of Medicines","POL","Poland","2018","2018",3.875,,
"MEDICINES","Retail Sales of Medicines","PRT","Portugal","2018","2018",3.875,,
"MEDICINES","Retail Sales of Medicines","SVK","Slovak Republic","2018","2018",1.25,,
"MEDICINES","Retail Sales of Medicines","ESP","Spain","2018","2018",4.75,,
"MEDICINES","Retail Sales of Medicines","SWE","Sweden","2018","2018",0,,
"MEDICINES","Retail Sales of Medicines","CHE","Switzerland","2018","2018",0.75,,
"MEDICINES","Retail Sales of Medicines","TUR","Turkey","2018","2018",6,,
"MEDICINES","Retail Sales of Medicines","GBR","United Kingdom","2018","2018",1.5,,
"MEDICINES","Retail Sales of Medicines","ARG","Argentina","2018","2018",5,,
"MEDICINES","Retail Sales of Medicines","BRA","Brazil","2018","2018",1.25,,
"MEDICINES","Retail Sales of Medicines","CHL","Chile","2018","2018",1.5,,
"MEDICINES","Retail Sales of Medicines","ISR","Israel","2018","2018",0.75,,
"MEDICINES","Retail Sales of Medicines","LVA","Latvia","2018","2018",3.625,,
"MEDICINES","Retail Sales of Medicines","LTU","Lithuania","2018","2018",1.75,,
"MEDICINES","Retail Sales of Medicines","SVN","Slovenia","2018","2018",3.375,,
"MEDICINES","Retail Sales of Medicines","ZAF","South Africa","2018","2018",4.75,,
"TOTAL_SECT","Total network sectors","AUS","Australia","2018","2018",1.1234547,,
"TOTAL_SECT","Total network sectors","AUT","Austria","2018","2018",1.2999352,,
"TOTAL_SECT","Total network sectors","BEL","Belgium","2018","2018",1.398293,,
"TOTAL_SECT","Total network sectors","CAN","Canada","2018","2018",1.338164,,
"TOTAL_SECT","Total network sectors","CZE","Czech Republic","2018","2018",1.2261788,,
"TOTAL_SECT","Total network sectors","DNK","Denmark","2018","2018",0.99232739,,
