"IND","Indicator","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"SUM","Summary","AUS","Australia","1998","1998",1.4365079,,
"SUM","Summary","AUS","Australia","2003","2003",1.3476191,,
"SUM","Summary","AUS","Australia","2008","2008",1.3476191,,
"SUM","Summary","AUS","Australia","2013","2013",0.70476192,,
"SUM","Summary","AUT","Austria","1998","1998",4.0666666,,
"SUM","Summary","AUT","Austria","2003","2003",3.5,,
"SUM","Summary","AUT","Austria","2008","2008",3.3,,
"SUM","Summary","AUT","Austria","2013","2013",2.4000001,,
"SUM","Summary","BEL","Belgium","1998","1998",4.6523809,,
"SUM","Summary","BEL","Belgium","2003","2003",4.6761904,,
"SUM","Summary","BEL","Belgium","2008","2008",4.5571427,,
"SUM","Summary","BEL","Belgium","2013","2013",4.0571427,,
"SUM","Summary","CAN","Canada","1998","1998",2.3476191,,
"SUM","Summary","CAN","Canada","2003","2003",2.4976189,,
"SUM","Summary","CAN","Canada","2008","2008",2.4976189,,
"SUM","Summary","CAN","Canada","2013","2013",2.4976189,,
"SUM","Summary","CZE","Czech Republic","1998","1998",0.9285714,,
"SUM","Summary","CZE","Czech Republic","2003","2003",1.0285714,,
"SUM","Summary","CZE","Czech Republic","2008","2008",1.2285714,,
"SUM","Summary","CZE","Czech Republic","2013","2013",1.5619048,,
"SUM","Summary","DNK","Denmark","1998","1998",3,,
"SUM","Summary","DNK","Denmark","2003","2003",3,,
"SUM","Summary","DNK","Denmark","2008","2008",1.8333334,,
"SUM","Summary","DNK","Denmark","2013","2013",1.6857142,,
"SUM","Summary","FIN","Finland","1998","1998",2.8619046,,
"SUM","Summary","FIN","Finland","2003","2003",2.8619046,,
"SUM","Summary","FIN","Finland","2008","2008",2.8857143,,
"SUM","Summary","FIN","Finland","2013","2013",2.8619046,,
"SUM","Summary","FRA","France","1998","1998",4.5,,
"SUM","Summary","FRA","France","2003","2003",3.7571428,,
"SUM","Summary","FRA","France","2008","2008",3.8047619,,
"SUM","Summary","FRA","France","2013","2013",2.6380951,,
"SUM","Summary","DEU","Germany","1998","1998",3.4023809,,
"SUM","Summary","DEU","Germany","2003","2003",3.3761904,,
"SUM","Summary","DEU","Germany","2008","2008",2.8761904,,
"SUM","Summary","DEU","Germany","2013","2013",2.7095239,,
"SUM","Summary","GRC","Greece","1998","1998",4.6190476,,
